,x,y,w,h,Total_Faces,Image_Name
0,94,144,390,390,1,real_00251.jpg
1,65,87,459,459,1,real_00537.jpg
2,115,149,386,386,1,real_00523.jpg
3,82,137,395,395,1,real_00245.jpg
4,142,204,376,376,1,real_00279.jpg
5,191,209,353,353,1,real_00292.jpg
6,89,196,384,384,1,real_00286.jpg
7,506,165,58,58,3,real_00735.jpg
8,126,149,390,390,1,real_00053.jpg
9,114,92,449,449,3,real_00047.jpg
10,40,89,341,341,1,real_00721.jpg
11,231,132,346,346,1,real_00709.jpg
12,70,75,490,490,1,real_00090.jpg
13,40,102,473,473,1,real_00084.jpg
14,91,157,400,400,1,real_00912.jpg
15,99,141,376,376,1,real_00906.jpg
16,137,124,399,399,1,real_00641.jpg
17,48,151,406,406,1,real_00899.jpg
18,90,172,356,356,1,real_00127.jpg
19,52,24,485,485,1,real_00133.jpg
20,79,156,428,428,1,real_00655.jpg
21,111,125,429,429,1,real_00669.jpg
22,128,195,383,383,1,real_00682.jpg
23,54,34,485,485,1,real_00696.jpg
24,68,87,445,445,1,real_00866.jpg
25,0,0,0,0,0,0
26,103,159,413,413,1,real_00325.jpg
27,250,334,80,80,1,real_00443.jpg
28,83,127,423,423,1,real_00457.jpg
29,120,131,431,431,1,real_00331.jpg
30,0,0,0,0,0,0
31,69,52,476,476,1,real_01007.jpg
32,120,131,431,431,1,real_00331(1).jpg
33,85,102,60,60,2,real_01013.jpg
34,76,159,422,422,1,real_00480.jpg
35,92,137,420,420,1,real_00494.jpg
36,0,0,0,0,0,0
37,145,146,431,431,2,real_00495.jpg
38,63,106,463,463,1,real_00481.jpg
39,116,51,468,468,1,real_01012.jpg
40,53,122,431,431,1,real_01006.jpg
41,0,0,0,0,0,0
42,111,114,420,420,1,real_00456.jpg
43,58,77,470,470,1,real_00330.jpg
44,80,104,416,416,1,real_00324.jpg
45,90,123,420,420,1,real_00442.jpg
46,111,114,420,420,1,real_00456(1).jpg
47,28,17,526,526,1,real_00873.jpg
48,62,46,499,499,2,real_00867.jpg
49,431,534,48,48,1,real_00697.jpg
50,0,0,0,0,0,0
51,102,177,370,370,1,real_00668.jpg
52,79,99,432,432,1,real_00132.jpg
53,90,80,420,420,1,real_00654.jpg
54,108,167,380,380,1,real_00898.jpg
55,59,93,456,456,1,real_00640.jpg
56,101,140,424,424,1,real_00126.jpg
57,80,122,390,390,1,real_00907.jpg
58,36,73,518,518,1,real_00913.jpg
59,49,61,468,468,1,real_00085.jpg
60,34,97,471,471,1,real_00091.jpg
61,111,142,415,415,1,real_00708.jpg
62,52,131,433,433,1,real_00046.jpg
63,52,162,399,399,1,real_00720.jpg
64,63,114,432,432,1,real_00734.jpg
65,94,193,379,379,1,real_00052.jpg
66,158,180,392,392,1,real_00287.jpg
67,86,120,448,448,1,real_00293.jpg
68,96,190,365,365,1,real_00278.jpg
69,0,0,0,0,0,0
70,104,140,414,414,1,real_00244.jpg
71,482,353,52,52,1,real_00250.jpg
72,380,388,108,108,1,real_00536.jpg
73,36,108,437,437,1,real_00246.jpg
74,59,134,395,395,1,real_00520.jpg
75,135,219,340,340,1,real_00534.jpg
76,108,160,389,389,1,real_00252.jpg
77,72,88,458,458,1,real_00508.jpg
78,34,104,468,468,1,real_00285.jpg
79,73,150,419,419,1,real_00291.jpg
80,0,0,0,0,0,0
81,99,128,414,414,1,real_00044.jpg
82,183,143,369,369,1,real_00050.jpg
83,226,195,308,308,1,real_00736.jpg
84,66,103,447,447,1,real_00078.jpg
85,67,50,440,440,1,real_00939.jpg
86,101,202,351,351,1,real_00087.jpg
87,117,161,423,423,1,real_00093.jpg
88,71,177,362,362,3,real_00905.jpg
89,525,233,54,54,2,real_00911.jpg
90,273,115,26,26,5,real_00656.jpg
91,105,109,390,390,1,real_00130.jpg
92,111,161,394,394,1,real_00124.jpg
93,79,163,393,393,1,real_00642.jpg
94,0,0,0,0,0,0
95,8,131,426,426,1,real_00695.jpg
96,63,106,463,463,1,real_00481(1).jpg
97,139,164,374,374,1,real_00859.jpg
98,58,138,382,382,1,real_00681.jpg
99,75,125,451,451,1,real_00871.jpg
100,30,69,489,489,1,real_00865.jpg
101,111,163,399,399,1,real_00332.jpg
102,66,97,437,437,1,real_00454.jpg
103,111,115,420,420,1,real_00440.jpg
104,19,84,436,436,1,real_00326.jpg
105,188,164,350,350,1,real_01038.jpg
106,35,113,425,425,1,real_01010.jpg
107,96,103,438,438,1,real_00468.jpg
108,47,61,491,491,1,real_01004.jpg
109,117,220,342,342,1,real_00497.jpg
110,47,47,499,499,1,real_00483.jpg
111,11,28,501,501,1,real_00482.jpg
112,89,178,371,371,1,real_00496.jpg
113,0,0,0,0,0,0
114,71,139,433,433,1,real_01011.jpg
115,120,218,349,349,1,real_00469.jpg
116,73,65,436,436,1,real_00441.jpg
117,159,119,410,410,1,real_01039.jpg
118,550,189,30,30,1,real_00327.jpg
119,33,92,440,440,1,real_00333.jpg
120,97,194,377,377,1,real_00455.jpg
121,17,25,64,64,2,real_00864.jpg
122,0,0,0,0,0,0
123,75,104,466,466,1,real_00680.jpg
124,103,123,426,426,1,real_00858.jpg
125,103,164,382,382,1,real_00694.jpg
126,187,112,387,387,1,real_00119.jpg
127,78,127,401,401,1,real_00125.jpg
128,85,71,427,427,1,real_00643.jpg
129,77,99,419,419,1,real_00657.jpg
130,115,174,381,381,1,real_00131.jpg
131,0,0,0,0,0,0
132,446,190,57,57,2,real_00904.jpg
133,46,186,393,393,1,real_00092.jpg
134,99,113,438,438,1,real_00938.jpg
135,61,128,389,389,1,real_00086.jpg
136,48,148,386,386,1,real_00079.jpg
137,62,172,350,350,1,real_00051.jpg
138,113,176,390,390,1,real_00737.jpg
139,0,0,0,0,0,0
140,37,116,420,420,2,real_00045.jpg
141,8,2,122,122,2,real_00290.jpg
142,21,150,435,435,1,real_00284.jpg
143,105,240,338,338,1,real_00509.jpg
144,114,157,401,401,1,real_00535.jpg
145,55,32,457,457,1,real_00253.jpg
146,0,0,0,0,0,0
147,70,146,413,413,1,real_00521.jpg
148,0,0,0,0,0,0
149,65,73,445,445,1,real_00525.jpg
150,241,55,50,50,2,real_00243.jpg
151,92,114,436,436,1,real_00257.jpg
152,119,160,400,400,1,real_00531.jpg
153,72,72,487,487,1,real_00280.jpg
154,127,160,390,390,1,real_00294.jpg
155,35,90,503,503,1,real_00069.jpg
156,65,81,434,434,1,real_00041.jpg
157,70,145,408,408,1,real_00727.jpg
158,354,167,127,127,2,real_00733.jpg
159,252,312,60,60,2,real_00055.jpg
160,127,98,423,423,1,real_00900.jpg
161,168,130,392,392,1,real_00914.jpg
162,69,97,471,471,1,real_00082.jpg
163,127,182,332,332,1,real_00928.jpg
164,76,128,436,436,1,real_00096.jpg
165,47,55,508,508,1,real_00109.jpg
166,99,195,383,383,1,real_00135.jpg
167,39,186,295,295,1,real_00653.jpg
168,113,124,394,394,2,real_00647.jpg
169,72,121,439,439,1,real_00121.jpg
170,69,160,408,408,1,real_00874.jpg
171,46,32,494,494,1,real_00860.jpg
172,45,177,337,337,1,real_00848.jpg
173,139,131,422,422,1,real_00690.jpg
174,257,252,91,91,2,real_00684.jpg
175,74,96,453,453,1,real_01015.jpg
176,86,124,422,422,2,real_01001.jpg
177,36,10,505,505,2,real_00479.jpg
178,138,148,359,359,1,real_00451.jpg
179,91,137,413,413,1,real_00337.jpg
180,66,203,377,377,1,real_01029.jpg
181,0,0,0,0,0,0
182,45,92,465,465,1,real_00445.jpg
183,105,111,441,441,1,real_00492.jpg
184,130,7,450,450,1,real_00486.jpg
185,40,77,462,462,1,real_00487.jpg
186,190,83,276,276,1,real_00493.jpg
187,104,205,378,378,1,real_00322.jpg
188,35,19,496,496,1,real_00444.jpg
189,89,137,430,430,1,real_00450.jpg
190,82,139,399,399,1,real_01028.jpg
191,49,192,364,364,1,real_00336.jpg
192,69,94,427,427,1,real_01000.jpg
193,75,138,382,382,1,real_00478.jpg
194,0,0,0,0,0,0
195,148,59,441,441,1,real_00685.jpg
196,0,0,0,0,0,0
197,72,122,407,407,1,real_00849.jpg
198,88,61,469,469,1,real_00861.jpg
199,529,228,61,61,1,real_00875.jpg
200,85,35,470,470,1,real_00646.jpg
201,72,103,473,473,1,real_00120.jpg
202,65,96,464,464,1,real_00134.jpg
203,0,0,0,0,0,0
204,69,146,443,443,1,real_00108.jpg
205,435,77,96,96,2,real_00929.jpg
206,28,382,52,52,1,real_00097.jpg
207,113,231,349,349,1,real_00083.jpg
208,54,165,390,390,1,real_00915.jpg
209,209,166,149,149,1,real_00901.jpg
210,93,155,390,390,1,real_00732.jpg
211,124,129,423,423,1,real_00054.jpg
212,75,142,366,366,1,real_00040.jpg
213,74,147,377,377,1,real_00726.jpg
214,74,155,417,417,1,real_00068.jpg
215,68,107,442,442,1,real_00295.jpg
216,77,164,400,400,1,real_00281.jpg
217,121,143,390,390,1,real_00256.jpg
218,202,119,388,388,1,real_00530.jpg
219,89,167,377,377,1,real_00524.jpg
220,98,157,383,383,1,real_00242.jpg
221,53,139,407,407,2,real_00518.jpg
